"Brand.Name","Generic.Name","Drug.Uses","key","Med_Cat","Med_Sub_Cat","Term_Matched"
"ABIRATERONE ACETATE","ABIRATERONE ACETATE","This medication is used along with prednisone to treat men with prostate cancer that has spread to other areas of the body. Abiraterone belongs to a class of drugs known as anti-androgens (anti-testosterone). Testosterone, a natural hormone, helps prostate cancer to grow and spread. Abiraterone works by blocking the production of testosterone, thereby slowing the growth and spread of prostate cancer. This medication should not be given to women or children.","ABIRATERONE ACETATE_ABIRATERONE ACETATE","Urology","Prostate","prostate"
"ABRAXANE","PACLITAXEL PROTEIN-BOUND","This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). Paclitaxel belongs to a class of drugs known as chemotherapy drugs. It works by slowing or stopping the growth of cancer cells.","ABRAXANE_PACLITAXEL PROTEIN-BOUND","Oncology","General_Oncology","chemotherapy"
"ABRYSVO","RSV VACC, PREF A AND PREF B/PF","This vaccine is used to prevent infection by the respiratory syncytial virus (RSV). Some brands may also be given during the third trimester of pregnancy to help prevent RSV in the newborn baby. RSV can cause serious illness, especially in older adults with certain health problems (such as heart disease, lung disease) and infants. It works by causing the body to produce its own protection (antibodies) against the virus. Vaccines may not fully protect everyone who receives them. This information does not contain any assurances that this product is safe, effective or appropriate for you.","ABRYSVO_RSV VACC, PREF A AND PREF B/PF","Obstetrics","Pregnancy_Peripartum","pregnancy"
"ABSORICA LD","ISOTRETINOIN, MICRONIZED","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring.","ABSORICA LD_ISOTRETINOIN, MICRONIZED","Dermatology","Acne","acne"
"ABSORICA","ISOTRETINOIN","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring.","ABSORICA_ISOTRETINOIN","Dermatology","Acne","acne"
"ABSTRAL","FENTANYL CITRATE","This medication is used to help relieve sudden (breakthrough) pain in people who are already taking opioid medication around-the-clock for cancer pain. Fentanyl belongs to a class of drugs known as opioid (narcotic) analgesics. It works in the brain to change how your body feels and responds to pain. This medication should not be used to relieve mild or short-term pain (such as due to headache/migraine, dental procedures, surgery).","ABSTRAL_FENTANYL CITRATE","Neurology","Headache","migraine"
"ACAMPROSATE CALCIUM","ACAMPROSATE CALCIUM","This medication is used along with counseling and support to help people who are alcohol dependent not drink alcohol. Acamprosate works by restoring the natural balance of chemicals in the brain (neurotransmitters). Before starting this medication, you should no longer be drinking alcohol. Acamprosate has not been shown to work well if you are still drinking alcohol when you start taking it.","ACAMPROSATE CALCIUM_ACAMPROSATE CALCIUM","Neurology","General_Neurology","neuro"
"ACANYA","CLINDAMYCIN PHOS/BENZOYL PEROX","This combination medication is used to treat a certain type of acne (inflammatory acne vulgaris). It helps to decrease the number of acne pimples. Clindamycin is an antibiotic that stops the growth of acne-causing bacteria. Benzoyl peroxide can also stop the growth of bacteria as well as reduce oil production in the skin, helping keep your pores open.","ACANYA_CLINDAMYCIN PHOS/BENZOYL PEROX","Dermatology","Acne","acne"
"ACARBOSE","ACARBOSE","Acarbose is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Acarbose works in your intestines to slow the breakdown and absorption of carbohydrates from foods that you eat. This effect helps lessen your blood sugar rise after a meal.","ACARBOSE_ACARBOSE","Cardiology","Vascular_Heart_Disease","stroke"
"ACCOLATE","ZAFIRLUKAST","Zafirlukast is used to control and prevent symptoms (such as wheezing and shortness of breath) caused by asthma. Controlling symptoms of asthma helps you maintain your normal activities and cuts down on time lost from work or school. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, salbutamol) as prescribed.","ACCOLATE_ZAFIRLUKAST","Pulmonology","Obstructive_Lung_Disease","asthma"
"ACCUPRIL","QUINAPRIL HCL","Quinapril is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This medication is also used to treat heart failure. Quinapril belongs to a class of drugs known as ACE inhibitors. It works by relaxing blood vessels so blood can flow more easily.","ACCUPRIL_QUINAPRIL HCL","Cardiology","Vascular_Heart_Disease","stroke"
"ACCURETIC","QUINAPRIL/HYDROCHLOROTHIAZIDE","This product is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: quinapril and hydrochlorothiazide. Quinapril belongs to a class of drugs known as ACE inhibitors and works by relaxing blood vessels so blood can flow more easily. Hydrochlorothiazide belongs to a class of drugs known as diuretics/""water pills."" It works by causing you to make more urine. This helps your body get rid of extra salt and water.","ACCURETIC_QUINAPRIL/HYDROCHLOROTHIAZIDE","Cardiology","Vascular_Heart_Disease","stroke"
"ACCUTANE","ISOTRETINOIN","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (such as benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring.","ACCUTANE_ISOTRETINOIN","Dermatology","Acne","acne"
"ACEBUTOLOL HCL","ACEBUTOLOL HCL","Acebutolol is used to treat high blood pressure and irregular heartbeat (arrhythmia). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Treating irregular heartbeat helps the heart work better and with less strain. Irregular heartbeats can be serious and may sometimes even lead to a heart attack. This medication belongs to a class of drugs known as beta blockers. It works by blocking the action of certain natural substances in your body, such as epinephrine, on the heart and blood vessels. This effect lowers heart rate, blood pressure, and strain on the heart.","ACEBUTOLOL HCL_ACEBUTOLOL HCL","Cardiology","Arrhythmia","arrhythmia"
"ACETAMIN-CAFF-DIHYDROCODEINE","ACETAMINOPHEN/CAFF/DIHYDROCOD","See also Warning section. This combination medication is used to help relieve moderate to severe pain. It contains an opioid (narcotic) pain reliever (dihydrocodeine), a non-opioid pain reliever (acetaminophen), and caffeine. Dihydrocodeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever. Caffeine increases pain relief, especially for certain types of headaches.","ACETAMIN-CAFF-DIHYDROCODEINE_ACETAMINOPHEN/CAFF/DIHYDROCOD","Pain_Management","General_Pain","opioid"
"ACETAMINOPHEN-CODEINE","ACETAMINOPHEN WITH CODEINE","See also Warning section. This combination medication is used to help relieve mild to moderate pain. It contains an opioid (narcotic) pain reliever (codeine) and a non-opioid pain reliever (acetaminophen). Codeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever.","ACETAMINOPHEN-CODEINE_ACETAMINOPHEN WITH CODEINE","Pain_Management","General_Pain","opioid"
"ACETAMINOPHEN","ACETAMINOPHEN","This drug is used to treat mild to moderate pain and to reduce fever. It is also used in combination with opioid pain medications to help relieve moderate to severe pain.","ACETAMINOPHEN_ACETAMINOPHEN","Pain_Management","General_Pain","opioid"
"ACETASOL HC","HYDROCORTISONE/ACETIC ACID","This combination medication is used to treat outer ear infections (e.g., swimmer's ear). This product contains 2 medications. Acetic acid works by stopping the growth of bacteria and fungus. Hydrocortisone is a steroid that helps to decrease the redness, swelling, and itching from the infection.","ACETASOL HC_HYDROCORTISONE/ACETIC ACID","Infectious_Disease","General_Infection","infection"
"ACETAZOLAMIDE ER","ACETAZOLAMIDE","Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This medication is also used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures).","ACETAZOLAMIDE ER_ACETAZOLAMIDE","Hospital_Medicine","Critical_Care","icu"
"ACETAZOLAMIDE SODIUM","ACETAZOLAMIDE SODIUM","This medication is used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures).","ACETAZOLAMIDE SODIUM_ACETAZOLAMIDE SODIUM","Neurology","Seizure_Disorders","seizure"
"ACETAZOLAMIDE","ACETAZOLAMIDE","Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This drug is also used with other medications to treat a certain type of eye problem (open-angle glaucoma). Acetazolamide is a ""water pill"" (diuretic). It decreases the amount of fluid that can build up in the eye. It is also used to decrease a buildup of body fluids (edema) caused by congestive heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures).","ACETAZOLAMIDE_ACETAZOLAMIDE","Hospital_Medicine","Critical_Care","icu"
"ACETIC ACID-ALUMINUM","ACETIC ACID/ALUMINUM ACETATE","This medication is used to treat an outer ear infection (external otitis). This product contains acetic acid/aluminum acetate, a combination that stops the growth of bacteria and fungus. Treating the infection reduces pain and swelling in the ear. Wetness in the ear canal can help bacteria and fungus to grow. This medication also causes drying of the ear canal, helping to cure the infection.","ACETIC ACID-ALUMINUM_ACETIC ACID/ALUMINUM ACETATE","Otorhinolaryngology","General_ENT","otitis"
"ACETIC ACID","ACETIC ACID","Acetic acid is used to treat an outer ear infection (external otitis). It works by stopping the growth of bacteria and fungus. Treating the infection reduces pain and swelling in the ear. Wetness in the ear canal can help bacteria and fungus to grow. This medication may also contain drying ingredients such as glycerin or alcohol. Drying of the ear canal helps to cure the infection.","ACETIC ACID_ACETIC ACID","Otorhinolaryngology","General_ENT","otitis"
"ACETYLCYSTEINE","ACETYLCYSTEINE","When inhaled by mouth, acetylcysteine is used to help thin and loosen mucus in the airways due to certain lung diseases (such as emphysema, bronchitis, cystic fibrosis, pneumonia). This effect helps you to clear the mucus from your lungs so that you can breathe easier. When taken by mouth, acetylcysteine is used to prevent liver damage from acetaminophen overdose.","ACETYLCYSTEINE_ACETYLCYSTEINE","Gastroenterology","Liver","liver"
"ACIPHEX SPRINKLE","RABEPRAZOLE SODIUM","Rabeprazole is used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and persistent cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs).","ACIPHEX SPRINKLE_RABEPRAZOLE SODIUM","Gastroenterology","Inflammatory_Bowel","ulcer"
"ACIPHEX","RABEPRAZOLE SODIUM","Rabeprazole is used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and persistent cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs).","ACIPHEX_RABEPRAZOLE SODIUM","Gastroenterology","Inflammatory_Bowel","ulcer"
"ACITRETIN","ACITRETIN","This medication is a retinoid used in the treatment of severe psoriasis and other skin disorders in adults.","ACITRETIN_ACITRETIN","Dermatology","Acne","retinoid"
"ACTEMRA ACTPEN","TOCILIZUMAB","This medication is used alone or with other medications to treat moderate to severe rheumatoid arthritis in adults. It is also used to treat rheumatoid arthritis in children (such as polyarticular juvenile idiopathic arthritis-PJIA, systemic juvenile idiopathic arthritis-SJIA). It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab is also used to treat giant cell arteritis. It helps to reduce swelling in your blood vessels so blood can flow more easily. Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation).","ACTEMRA ACTPEN_TOCILIZUMAB","Hospital_Medicine","Critical_Care","icu"
"ACTEMRA","TOCILIZUMAB","This medication is used alone or with other medications to treat moderate to severe rheumatoid arthritis in adults. It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation).","ACTEMRA_TOCILIZUMAB","Orthopedics","Arthritis","arthritis"
"ACTHAR","CORTICOTROPIN","This medication is used to treat a certain type of seizure in children (infantile spasms). This medication is also used to treat conditions such as multiple sclerosis, arthritis, lupus, eye conditions, skin/kidney/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. Corticotropin is a hormone.","ACTHAR_CORTICOTROPIN","Neurology","Seizure_Disorders","seizure"
"ACTHIB","HAEMOPH B POLY CONJ-TET TOX/PF","This vaccine helps protect young children from Haemophilus influenzae type b (Hib) infection. Hib is a bacterial infection that can cause serious illness, including brain infection (meningitis). Children younger than age 5 are at highest risk for infection. Vaccination is the best way to protect against this life-threatening disease. Vaccines work by causing the body to produce its own protection (antibodies). This vaccine is not usually used in children over the age of 5 or in adults.","ACTHIB_HAEMOPH B POLY CONJ-TET TOX/PF","Infectious_Disease","General_Infection","bacterial"
"ACTIGALL","URSODIOL","Ursodiol is used to dissolve certain types of gallstones, to prevent gallstones from forming in obese patients who are losing weight rapidly, and to treat a certain type of liver disease (primary biliary cirrhosis). Ursodiol is a bile acid.","ACTIGALL_URSODIOL","Endocrinology","Obesity_Metabolic","weight"
"ACTIMMUNE","INTERFERON GAMMA-1B,RECOMB.","This medication is used to reduce the frequency and severity of serious infections due to chronic granulomatous disease, a disorder that runs in families. This drug is often used along with antibiotics to help prevent these serious infections. This medication is also used to slow the worsening of malignant osteopetrosis, another disorder that runs in families, that affects bones, nerves, and blood. This medication is the same as a protein that your body naturally produces (interferon). In the body, it is thought to work by affecting cell function/growth and the body's natural defenses (immune system) in many ways. Adding more interferon may help your body fight off serious infections.","ACTIMMUNE_INTERFERON GAMMA-1B,RECOMB.","Infectious_Disease","General_Infection","antibiotic"
"ACTIQ","FENTANYL CITRATE","This medication is used to help relieve sudden (breakthrough) cancer pain in people who are regularly taking moderate to large amounts of opioid pain medication. Fentanyl belongs to a class of drugs known as opioid (narcotic) analgesics. It works in the brain to change how your body feels and responds to pain. This medication should not be used to relieve mild or short-term pain (such as due to headache/migraine, dental procedures, surgery).","ACTIQ_FENTANYL CITRATE","Neurology","Headache","migraine"
"ACTIVELLA","ESTRADIOL/NORETHINDRONE ACET","This medication contains 2 female hormones: an estrogen (such as conjugated estrogen, estradiol) and a progestin (such as medroxyprogesterone, norethindrone, norgestimate). It is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. The progestin in this medication helps to reduce the risk of cancer of the uterus which can be caused by using estrogen. Women who have had their uterus removed do not need the progestin and therefore should not use this combination medication. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women after menopause to prevent bone loss (osteoporosis). However, there are other medications (such as raloxifene, bisphosphonates including alendronate) that are also effective in preventing bone loss and may be safer. These medications should be considered for use before estrogen/progestin treatment.","ACTIVELLA_ESTRADIOL/NORETHINDRONE ACET","Orthopedics","Musculoskeletal","bone"
"ACTONEL","RISEDRONATE SODIUM","Risedronate is used to prevent and treat certain types of bone loss (osteoporosis) in adults. Osteoporosis causes bones to become thinner and break more easily. Your chance of developing osteoporosis increases as you age, after menopause, or if you are taking corticosteroid medications (such as prednisone) for a long time. This medication works by slowing bone loss to help maintain strong bones and reduce the risk of broken bones (fractures). Risedronate belongs to a class of medications called bisphosphonates.","ACTONEL_RISEDRONATE SODIUM","Orthopedics","Musculoskeletal","bone"
"ACTOPLUS MET XR","PIOGLITAZONE HCL/METFORMIN HCL","This combination medication is used along with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone belongs to a class of drugs known as thiazolidinediones or ""glitazones"". Metformin and pioglitazone work by helping to restore your body's proper response to the insulin you naturally produce. Metformin also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb. Talk to your doctor about the risks and benefits of using pioglitazone-containing products.","ACTOPLUS MET XR_PIOGLITAZONE HCL/METFORMIN HCL","Cardiology","Vascular_Heart_Disease","stroke"
"ACTOPLUS MET","PIOGLITAZONE HCL/METFORMIN HCL","This combination medication is used along with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone belongs to a class of drugs known as thiazolidinediones or ""glitazones"". Metformin and pioglitazone work by helping to restore your body's proper response to the insulin you naturally produce. Metformin also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb. Talk to your doctor about the risks and benefits of using pioglitazone-containing products.","ACTOPLUS MET_PIOGLITAZONE HCL/METFORMIN HCL","Cardiology","Vascular_Heart_Disease","stroke"
"ACTOS","PIOGLITAZONE HCL","Pioglitazone is a diabetes drug (thiazolidinedione-type, also called ""glitazones"") used along with a proper diet and exercise program to control high blood sugar in patients with type 2 diabetes. It works by helping to restore your body's proper response to insulin, thereby lowering your blood sugar. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone is used either alone or in combination with other diabetes medications (such as metformin or a sulfonylurea such as glyburide). Talk to your doctor about the risks and benefits of pioglitazone.","ACTOS_PIOGLITAZONE HCL","Cardiology","Vascular_Heart_Disease","stroke"
"ACULAR LS","KETOROLAC TROMETHAMINE","This medication is used to relieve eye pain, burning, and stinging following a certain type of corrective eye surgery (corneal refractive surgery). Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.","ACULAR LS_KETOROLAC TROMETHAMINE","Pain_Management","General_Pain","nsaid"
"ACULAR","KETOROLAC TROMETHAMINE","This medication is used to temporarily relieve itching eyes caused by seasonal allergies. It is also used to prevent and treat eye swelling due to a certain type of eye surgery (cataract removal). Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.","ACULAR_KETOROLAC TROMETHAMINE","Pain_Management","General_Pain","nsaid"
"ACUVAIL","KETOROLAC TROMETHAMINE/PF","This medication is used to treat eye pain and swelling (inflammation) after cataract surgery. Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.","ACUVAIL_KETOROLAC TROMETHAMINE/PF","Pain_Management","General_Pain","nsaid"
"ACYCLOVIR SODIUM","ACYCLOVIR SODIUM","This medication is used in certain people to treat outbreaks of herpes simplex infection of the skin (e.g., genitals), mucous membrane areas (e.g., mouth, nose), or brain. It is also used in certain people to treat shingles infection. The viruses that cause these infections live in the body quietly until an outbreak occurs. Acyclovir does not cure these infections, but can speed healing of the sores, decrease pain/itching/formation of new sores, and lower the risk of other problems from the virus (e.g., infection spreading to other parts of the body/organs, persistent pain after sores heal).","ACYCLOVIR SODIUM_ACYCLOVIR SODIUM","Dermatology","General_Skin","skin"
"ACYCLOVIR","ACYCLOVIR","Acyclovir is used to treat infections caused by certain types of viruses. It treats cold sores around the mouth (caused by herpes simplex), shingles (caused by herpes zoster), and chickenpox. This medication is also used to treat outbreaks of genital herpes. In people with frequent outbreaks, acyclovir is used to help reduce the number of future episodes. Acyclovir is an antiviral drug. However, it is not a cure for these infections. The viruses that cause these infections continue to live in the body even between outbreaks. Acyclovir decreases the severity and length of these outbreaks. It helps the sores heal faster, keeps new sores from forming, and decreases pain/itching. This medication may also help reduce how long pain remains after the sores heal. In addition, in people with a weakened immune system, acyclovir can decrease the risk of the virus spreading to other parts of the body and causing serious infections.","ACYCLOVIR_ACYCLOVIR","Infectious_Disease","General_Infection","viral"
"ACZONE","DAPSONE","This medication is used to treat acne. It helps decrease the number and severity of acne pimples and helps pimples that do develop to heal more quickly. Dapsone is an antibiotic. It is not known how dapsone works to treat acne.","ACZONE_DAPSONE","Dermatology","Acne","acne"
"ADACEL TDAP","DIPH,PERTUSS(ACELL),TET VAC/PF","This vaccine is used to keep up protection (immunity) against diphtheria, tetanus (lockjaw) and pertussis (whooping cough) in children and adults who have been vaccinated for these diseases in the past. Vaccination is the best way to protect against these life-threatening diseases. Vaccines work by causing the body to produce its own protection (antibodies). Booster doses are needed to keep up immunity because antibody levels may become too low over time to provide the needed protection.","ADACEL TDAP_DIPH,PERTUSS(ACELL),TET VAC/PF","Vaccine","Vaccination","vaccine"
